Especie,Registrada/Potencial/Dudosa,Estatus UICN,Estatus Perú,Endémica de Loreto?,Fuente,Comentario
Adelophryne adiastola,R,LC,,,www.iucnredlist.org,
Adelphobates quinquevittatus,D,LC,,,www.iucnredlist.org,especie de rondonia en brazil de poca probabilidad de estar presente en Loreto
Agalychnis hulli,R,LC,,,www.iucnredlist.org,especie igual a Hylomantis hulli
Allobates brunneus,R,LC,,,,"Especie de un complejo de especies que por ahora no podriamos negar ni afirmar, solo queda confiar en la identificación de la especie"
Allobates conspicuus,R,DD,,,www.iucnredlist.org,
Allobates femoralis,R,LC,,,www.iucnredlist.org,
Allobates fratisenescus,R,DD,,,,
Allobates fuscellus,P,DD,,,www.iucnredlist.org,Especie que probablemente si este en Loreto
Allobates insperatus,R,DD,,,,
Allobates marchesianus,R,LC,,,www.iucnredlist.org,
Allobates melanolaemus,R,LC,,S,www.iucnredlist.org,
Allobates sumtuosus,R,DD,,,www.iucnredlist.org,
Allobates trilineatus,R,LC,,,www.iucnredlist.org,
Allobates zaparo,R,LC,NT,,www.iucnredlist.org,
Allophryne resplendens,R,NE,,,,Especie descrita el 2012
Amazophrynella minuta,R,NE,,,,
Ameerega altamazonica,R,LC,,,,Especie descrita hace pocos años
Ameerega bassleri,D,NT,,,www.iucnredlist.org,Dudosa presencia en Loreto pero no podria descartar la posibilidad
Ameerega bilinguis,R,LC,,,www.iucnredlist.org,
Ameerega cainarachi,R,VU,NT,S,www.iucnredlist.org,
Ameerega hahneli,R,LC,,,www.iucnredlist.org,
Ameerega ignipedis,R,DD,NE,,,
Ameerega labialis,R,DD,,,,Especie conocida solo de la descripción original
Ameerega macero,D,LC,,,www.iucnredlist.org,"Especie conocida del Sur de perú, poca probabilidad de estar presente en Loreto"
Ameerega parvula,R,LC,NT,,www.iucnredlist.org,
Ameerega petersi,R,LC,,,www.iucnredlist.org,
Ameerega picta,D,LC,,,www.iucnredlist.org,Especie de un complejo mal identificada como picta por muchos autores y que probablemente solo este en brazil
Ameerega rubriventris,R,DD,,,www.iucnredlist.org,
Ameerega trivittata,R,LC,,,www.iucnredlist.org,
Ameerega yoshina,R,DD,NE,,,Especie descrita recientemente
Atelopus andinus,R,CR,,,www.iucnredlist.org,
Atelopus pulcher,R,CR,,,www.iucnredlist.org,
Atelopus seminiferus,D,CR,,,www.iucnredlist.org,Probablemente no este en Loreto
Atelopus spumarius,R,VU,,,www.iucnredlist.org,
Bolitoglossa altamazonica,R,LC,,,www.iucnredlist.org,
Bolitoglossa equatoriana,R,LC,,,,"Especie registrada por el autor de la base de datos, no hay publicación disponible"
Bolitoglossa peruviana,R,LC,,,www.iucnredlist.org,
Caecilia disossea,P,LC,,,www.iucnredlist.org,"especies complejas, mientras no se aclare sus taxonomia podriamos considerar que probablemente si existan en Loreto"
Caecilia gracilis,P,LC,,,www.iucnredlist.org,"especies complejas, mientras no se aclare sus taxonomia podriamos considerar que probablemente si existan en Loreto"
Caecilia inca,P,DD,,S,www.iucnredlist.org,"especies complejas, mientras no se aclare sus taxonomia podriamos considerar que probablemente si existan en Loreto"
Caecilia tentaculata,R,LC,,,www.iucnredlist.org,
Ceratophrys cornuta,R,LC,,,www.iucnredlist.org,
Chiasmocleis anatipes,R,LC,,,www.iucnredlist.org,
Chiasmocleis bassleri,R,LC,,,www.iucnredlist.org,
Chiasmocleis devriesi,R,NE,NE,S,www.iucnredlist.org,
Chiasmocleis jimi,R,DD,,,,especie solo registrada en la frontera con brazil probablemente falten mas estudios que reconfirmen su presencia en Loreto
Chiasmocleis magnova,R,DD,,S,www.iucnredlist.org,
Chiasmocleis shudikarensis,D,LC,,,www.iucnredlist.org,"Especie de la zona de Amazonia brasilera, probablemente no este en Loreto"
Chiasmocleis ventrimaculata,R,LC,,,www.iucnredlist.org,
Chimerella mariaelenae,R,VU,,,,Especie reportada exclusivamente de la zona de Kampankis en Loreto
Cochranella resplendens,P,LC,,,www.iucnredlist.org,Probablemente tal vez este en Loreto
Cochranella ametarsia,R,,,,,(=Vitreorana oyampiensis)
Cruziohyla craspedopus,R,LC,,,www.iucnredlist.org,
Ctenophryne geayi,R,LC,,,www.iucnredlist.org,
Dendrophryniscus minutus,R,LC,,,www.iucnredlist.org,
Dendropsophus acreanus,D,LC,,,www.iucnredlist.org,"Especie poco probable que este presente en Loreto, Especie presente en el sur de Peru y Bolivia, confundida con D marmoratus"
Dendropsophus allenorum,R,LC,,,www.iucnredlist.org,
Dendropsophus aperomeus,R,LC,,,,Especie reportada exclusivamente de la zona de Kampankis en Loreto
Dendropsophus bifurcus,R,LC,,,www.iucnredlist.org,
Dendropsophus bokermanni,R,LC,,,www.iucnredlist.org,
Dendropsophus brevifrons,R,LC,,,www.iucnredlist.org,
Dendropsophus frosti,R,NE,NE,,,Especie descrita recientemente (2011)
Dendropsophus haraldschultzi,R,LC,,,www.iucnredlist.org,
Dendropsophus koechlini,R,LC,,,www.iucnredlist.org,
Dendropsophus leali,R,LC,,,www.iucnredlist.org,
Dendropsophus leucophyllatus,R,LC,,,www.iucnredlist.org,
Dendropsophus marmoratus,R,LC,,,www.iucnredlist.org,
Dendropsophus microcephalus,P,LC,,,www.iucnredlist.org,
Dendropsophus minutus,R,LC,,,www.iucnredlist.org,
Dendropsophus miyatai,R,LC,,,www.iucnredlist.org,
Dendropsophus parviceps,R,LC,,,www.iucnredlist.org,
Dendropsophus rhodopeplus,R,LC,,,www.iucnredlist.org,
Dendropsophus riveroi,R,LC,,,www.iucnredlist.org,
Dendropsophus rossalleni,R,LC,,,www.iucnredlist.org,
Dendropsophus sarayacuensis,R,LC,,,www.iucnredlist.org,
Dendropsophus schubarti,P,LC,,,www.iucnredlist.org,
Dendropsophus timbeba,R,LC,,,www.iucnredlist.org,
Dendropsophus triangulum,R,LC,,,www.iucnredlist.org,
Dendropsophus xapuriensis,P,LC,,,www.iucnredlist.org,
Ecnomiohyla tuberculosa,R,LC,,,www.iucnredlist.org,
Edalorhina perezi,R,LC,,,www.iucnredlist.org,
Elachistocleis ovalis,P,LC,,,www.iucnredlist.org,
Engystomops freibergi,R,LC,,,www.iucnredlist.org,(=Physalaemus freibergi)
Engystomops petersi,R,LC,,,www.iucnredlist.org,(=Physalaemus petersi)
Epicrionops petersi,P,LC,,,www.iucnredlist.org,
Excidobates captivus,P,LC,,,www.iucnredlist.org,
Gastrotheca longipes,R,LC,,,www.iucnredlist.org,
Gastrotheca testudinea,P,LC,,,www.iucnredlist.org,
Hamptophryne boliviana,R,LC,,,www.iucnredlist.org,
Hemiphractus bubalus,P,NT,,,www.iucnredlist.org,
Hemiphractus helioi,R,LC,,,www.iucnredlist.org,
Hemiphractus johnsoni,P,EN,,,www.iucnredlist.org,
Hemiphractus proboscideus,R,LC,,,www.iucnredlist.org,
Hemiphractus scutatus,R,LC,,,www.iucnredlist.org,
Hyalinobatrachium iaspidiense,R,DD,,,,
Hydrolaetare dantasi,P,LC,,,www.iucnredlist.org,
Hydrolaetare schmidti,R,LC,,,www.iucnredlist.org,
Hyloscirtus albopunctulatus,P,LC,,,www.iucnredlist.org,
Hyloscirtus phyllognathus,P,LC,,,www.iucnredlist.org,
Hyloxalus argyrogaster,P,LC,,,www.iucnredlist.org,
Hyloxalus azureiventris,P,EN,,,www.iucnredlist.org,
Hyloxalus italoi,R,,,,,
Hyloxalus nexipus,R,LC,,,www.iucnredlist.org,
Hypodactylus nigrovittatus,R,LC,,,www.iucnredlist.org,
Hypsiboas boans,R,LC,,,www.iucnredlist.org,
Hypsiboas calcaratus,R,LC,,,www.iucnredlist.org,
Hypsiboas cinerascens,R,LC,,,www.iucnredlist.org,
Hypsiboas fasciatus,R,LC,,,www.iucnredlist.org,
Hypsiboas geographicus,R,LC,,,www.iucnredlist.org,
Hypsiboas lanciformis,R,LC,,,www.iucnredlist.org,
Hypsiboas microderma,R,LC,,,www.iucnredlist.org,
Hypsiboas nympha,R,LC,,,www.iucnredlist.org,
Hypsiboas punctatus,R,LC,,,www.iucnredlist.org,
Hypsiboas raniceps,P,LC,,,www.iucnredlist.org,
Leptodactylus andreae,R,LC,,,www.iucnredlist.org,
Leptodactylus bolivianus,R,LC,,,www.iucnredlist.org,
Leptodactylus chaquensis,P,LC,,,www.iucnredlist.org,
Leptodactylus didymus,R,LC,,,,
Leptodactylus diedrus,R,LC,,,www.iucnredlist.org,
Leptodactylus discodactylus,R,LC,,,www.iucnredlist.org,
Leptodactylus fuscus,R,LC,,,www.iucnredlist.org,
Leptodactylus hylaedactylus,R,LC,,,www.iucnredlist.org,
Leptodactylus knudseni,R,LC,,,www.iucnredlist.org,
Leptodactylus leptodactyloides,R,LC,,,www.iucnredlist.org,
Leptodactylus lineatus,R,LC,,,www.iucnredlist.org,
Leptodactylus mystaceus,R,LC,,,www.iucnredlist.org,
Leptodactylus pentadactylus,R,LC,,,www.iucnredlist.org,
Leptodactylus petersii,R,LC,,,www.iucnredlist.org,
Leptodactylus podicipinus,P,LC,,,www.iucnredlist.org,
Leptodactylus rhodomystax,R,LC,,,www.iucnredlist.org,
Leptodactylus rhodonotus,R,LC,,,www.iucnredlist.org,
Leptodactylus rhodostima,R,DD,,S,www.iucnredlist.org,
Leptodactylus riveroi,P,LC,,,www.iucnredlist.org,
Leptodactylus stenodema,R,LC,,,www.iucnredlist.org,
Leptodactylus wagneri,R,LC,,,www.iucnredlist.org,
Lithobates palmipes,R,LC,,,www.iucnredlist.org,
Lithodytes lineatus,R,LC,,,,
Noblella myrmecoides,R,LC,,,www.iucnredlist.org,
Nyctimantis rugiceps,R,LC,,,www.iucnredlist.org,
Oreobates quixensis,R,LC,,,www.iucnredlist.org,
Oscaecilia bassleri,R,LC,,,www.iucnredlist.org,
Oscaecilia koepckeorum,R,DD,,S,www.iucnredlist.org,
Osteocephalus buckleyi,R,LC,,,www.iucnredlist.org,
Osteocephalus cabrerai,R,LC,,,www.iucnredlist.org,
Osteocephalus deridens,R,LC,,,www.iucnredlist.org,
Osteocephalus fuscifacies,R,DD,,,,
Osteocephalus heyeri,R,LC,NE,,,
Osteocephalus leoniae,R,,,,www.iucnredlist.org,
Osteocephalus leprieurii,P,LC,,,www.iucnredlist.org,
Osteocephalus mimeticus,P,,,,www.iucnredlist.org,(=Osteocephalus elkejungingerae)
Osteocephalus mutabor,R,LC,,,www.iucnredlist.org,
Osteocephalus planiceps,R,LC,,,www.iucnredlist.org,
Osteocephalus subtilis,R,LC,,,www.iucnredlist.org,
Osteocephalus taurinus,R,LC,,,www.iucnredlist.org,
Osteocephalus verruciger,R,LC,,,,
Osteocephalus yasuni,R,LC,,,www.iucnredlist.org,
Phyllomedusa atelopoides,R,LC,,,www.iucnredlist.org,
Phyllomedusa bicolor,R,LC,,,www.iucnredlist.org,
Phyllomedusa camba,R,LC,,,,
Phyllomedusa coelestis,R,LC,,,www.iucnredlist.org,
Phyllomedusa palliata,R,LC,,,www.iucnredlist.org,
Phyllomedusa tarsius,R,LC,,,www.iucnredlist.org,
Phyllomedusa tomopterna,R,LC,,,www.iucnredlist.org,
Phyllomedusa vaillantii,R,LC,,,www.iucnredlist.org,
Pipa arrabali,P,LC,,,www.iucnredlist.org,
Pipa pipa,R,LC,,,www.iucnredlist.org,
Pipa snethlageae,R,LC,,,www.iucnredlist.org,
Potomotyphlus kaupii,R,LC,,,www.iucnredlist.org,
Pristimantis aaptus,R,LC,,,www.iucnredlist.org,
Pristimantis academicus,R,NE,,,,
Pristimantis achuar,R,LC,,,,
Pristimantis acuminatus,R,LC,,,www.iucnredlist.org,
Pristimantis altamazonicus,R,LC,,,www.iucnredlist.org,
Pristimantis altamnis,R,LC,,,,
Pristimantis ardalonychus,P,DD,,,www.iucnredlist.org,
Pristimantis aureolineatus,R,LC,,,www.iucnredlist.org,
Pristimantis bearsei,R,NE,,,www.iucnredlist.org,
Pristimantis buccinator,R,LC,,,www.iucnredlist.org,
Pristimantis carvalhoi,R,LC,,,www.iucnredlist.org,
Pristimantis conspicillatus,R,LC,,,www.iucnredlist.org,
Pristimantis croceoinguinis,R,LC,,,www.iucnredlist.org,
Pristimantis delius,R,DD,,S,www.iucnredlist.org,
Pristimantis diadematus,R,LC,,,www.iucnredlist.org,
Pristimantis eurydactylus,R,LC,,,,
Pristimantis fenestratus,R,LC,,,www.iucnredlist.org,
Pristimantis imitatrix,P,LC,,,www.iucnredlist.org,
Pristimantis kichwarum,R,LC,,,,
Pristimantis lacrimosus,R,LC,,,www.iucnredlist.org,
Pristimantis lanthanites,R,LC,,,www.iucnredlist.org,
Pristimantis lirellus,R,LC,,,,
Pristimantis luscombei,R,DD,,S,www.iucnredlist.org,
Pristimantis lythrodes,R,LC,,S,www.iucnredlist.org,
Pristimantis malkini,R,LC,,,www.iucnredlist.org,
Pristimantis martiae,R,LC,,,www.iucnredlist.org,
Pristimantis mendax,R,LC,,,,
Pristimantis muscosus,P,DD,,,www.iucnredlist.org,
Pristimantis nephophilus,P,VU,,,www.iucnredlist.org,
Pristimantis ockendeni,R,LC,,,www.iucnredlist.org,
Pristimantis orcus,R,NE,,,,especie de reciente descripción
Pristimantis padiali,R,NE,NE,,,especie de reciente descripción
Pristimantis pecki,R,DD,,,,Solo conocida de Kampankis en Loreto
Pristimantis peruvianus,R,LC,,,www.iucnredlist.org,
Pristimantis pseudoacuminatus,R,LC,,,,
Pristimantis quaquaversus,R,LC,,,www.iucnredlist.org,
Pristimantis quixensis,R,,,,,
Pristimantis rhodostichus,R,VU,,,,
Pristimantis rufioculis,P,DD,,,www.iucnredlist.org,
Pristimantis skydmainos,R,,,,www.iucnredlist.org,
Pristimantis toftae,R,LC,,,www.iucnredlist.org,
Pristimantis trachyblepharis,R,,,,,
Pristimantis variabilis,R,LC,,,www.iucnredlist.org,
Pristimantis ventrimarmoratus,R,LC,,,www.iucnredlist.org,
Pristimantis vilarsi,R,LC,,,www.iucnredlist.org,
Pseudopaludicola ceratophryes,R,LC,,,www.iucnredlist.org,
Ranitomeya amazonica,R,DD,,S,www.iucnredlist.org,
Ranitomeya benedicta,R,VU,,,www.iucnredlist.org,
Ranitomeya cyanovittata,R,DD,,,,
Ranitomeya duellmani,P,LC,,,www.iucnredlist.org,
Ranitomeya fantastica,R,NT,,,www.iucnredlist.org,
Ranitomeya flavovittata,R,DD,,,,
Ranitomeya ignea,P,DD,,S,www.iucnredlist.org,especie actualmente no valida
Ranitomeya imitator,P,LC,,,www.iucnredlist.org,
Ranitomeya reticulata,R,LC,NT,,www.iucnredlist.org,
Ranitomeya sirensis,R,LC,,,,
Ranitomeya uakarii,R,LC,,,www.iucnredlist.org,
Ranitomeya vanzolinii,P,LC,,,www.iucnredlist.org,
Ranitomeya variabilis,R,LC,,,,
Ranitomeya ventrimaculata,R,LC,,,www.iucnredlist.org,
Ranitomeya yavaricola,R,DD,NE,,,
Rhaebo glaberrimus,P,LC,,,www.iucnredlist.org,
Rhaebo guttatus,R,LC,,,www.iucnredlist.org,
Rhamphophryne festae,R,NT,,,,
Rhinella castaneotica,P,LC,,,www.iucnredlist.org,
Rhinella ceratophrys,R,LC,,,www.iucnredlist.org,
Rhinella dapsilis,R,LC,,,www.iucnredlist.org,
Rhinella festae,R,NT,,,,
Rhinella guttatus,R,,,,,
Rhinella margaritifera,R,LC,,,www.iucnredlist.org,
Rhinella marina,R,LC,,,www.iucnredlist.org,
Rhinella poeppigii,P,LC,,,www.iucnredlist.org,
Rhinella proboscidea,P,LC,,,www.iucnredlist.org,
Rhinella roqueana,R,LC,,,www.iucnredlist.org,
Scarthyla goinorum,R,LC,,,www.iucnredlist.org,
Scinax boesemani,P,LC,,,www.iucnredlist.org,
Scinax cruentommus,R,LC,,,www.iucnredlist.org,
Scinax funereus,R,LC,,,www.iucnredlist.org,
Scinax garbei,R,LC,,,www.iucnredlist.org,
Scinax iquitorum,R,NE,NE,,,
Scinax oreites,D,NT,,,www.iucnredlist.org,Especie poco probable que se encuentre en Loreto
Scinax pedromedinae,R,LC,,,www.iucnredlist.org,
Scinax ruber,R,LC,,,www.iucnredlist.org,
Scinax x-signatus,D,LC,,,www.iucnredlist.org,Especie poco probable que se encuentre en Loreto
Siphonops annulatus,R,LC,,,www.iucnredlist.org,
Sphaenorhynchus carneus,R,LC,,,www.iucnredlist.org,
Sphaenorhynchus dorisae,R,LC,,,www.iucnredlist.org,
Sphaenorhynchus lacteus,R,LC,,,www.iucnredlist.org,
Strabomantis sulcatus,R,LC,,,www.iucnredlist.org,
Synapturanus rabus,R,LC,,,www.iucnredlist.org,
Syncope antenori,R,LC,,,www.iucnredlist.org,
Syncope carvalhoi,R,LC,,,www.iucnredlist.org,
Syncope tridactyla,R,LC,,,www.iucnredlist.org,
Teratohyla midas,R,LC,,,www.iucnredlist.org,
Trachycephalus coriaceus,R,LC,,,www.iucnredlist.org,
Trachycephalus resinifictrix,R,LC,,,www.iucnredlist.org,
Trachycephalus typhonius,R,LC,,,www.iucnredlist.org,
Trachycephalus venulosus,P,LC,,,,
Typhlonectes compressicauda,R,LC,,,www.iucnredlist.org,
Vitreorana oyampiensis,R,LC,,,,
